INPUT:input	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started
Должен ли я использовать vfat или ext3 для внешнего жесткого диска USB емкостью 1 ТБ?	"{""label"":""Object1""\,""offset"":25\,""length"":4\,""segment"":""vfat""},{""label"":""Object2""\,""offset"":34\,""length"":4\,""segment"":""ext3""},{""label"":""Aspect""\,""offset"":43\,""length"":41\,""segment"":""внешнего жесткого диска USB емкостью 1 ТБ""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef602f289a056bcd958140	000016521d--63eca3e60dee0e72fb99ba48	000016521d--63ef602f289a056bcd958140	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:08:31.465
Что лучше университетское или профессиональное?	"{""label"":""Object1""\,""offset"":10\,""length"":15\,""segment"":""университетское""},{""label"":""Object2""\,""offset"":30\,""length"":16\,""segment"":""профессиональное""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef602f289a056bcd958140	000016521d--63eca4040dee0e72fb99bb66	000016521d--63ef602f289a056bcd958140	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:08:31.465
Кто сыграл больше матчей - Роналду или Месси?	"{""label"":""Aspect""\,""offset"":11\,""length"":13\,""segment"":""больше матчей""},{""label"":""Object1""\,""offset"":27\,""length"":7\,""segment"":""Роналду""},{""label"":""Object2""\,""offset"":39\,""length"":5\,""segment"":""Месси""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef602f289a056bcd958140	000016521d--63eca4020dee0e72fb99bb5a	000016521d--63ef602f289a056bcd958140	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:08:31.465
Что лучше redmi note или redmi note 4g почему?	"{""label"":""Object1""\,""offset"":10\,""length"":10\,""segment"":""redmi note""},{""label"":""Object2""\,""offset"":25\,""length"":13\,""segment"":""redmi note 4g""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef602f289a056bcd958140	000016521d--63eca4130dee0e72fb99bbdc	000016521d--63ef602f289a056bcd958140	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:08:31.465
Что лучше, Netflix или Blockbuster?	"{""label"":""Object1""\,""offset"":11\,""length"":7\,""segment"":""Netflix""},{""label"":""Object2""\,""offset"":23\,""length"":11\,""segment"":""Blockbuster""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef602f289a056bcd958140	000016521d--63eca3d10dee0e72fb99b99e	000016521d--63ef602f289a056bcd958140	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:08:31.465
Каковы плюсы и минусы обучения в политехническом институте по сравнению с младшими колледжами Сингапура?	"{""label"":""Object1""\,""offset"":33\,""length"":25\,""segment"":""политехническом институте""},{""label"":""Object2""\,""offset"":74\,""length"":29\,""segment"":""младшими колледжами Сингапура""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef602f289a056bcd958140	000016521d--63eca4160dee0e72fb99bbf8	000016521d--63ef602f289a056bcd958140	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:08:31.465
Какой из них лучше bmw или infinity g35?	"{""label"":""Object1""\,""offset"":19\,""length"":3\,""segment"":""bmw""},{""label"":""Object2""\,""offset"":27\,""length"":12\,""segment"":""infinity g35""}"	"{""label"":""Object1""\,""offset"":19\,""length"":3\,""segment"":""bmw""},{""label"":""Object2""\,""offset"":27\,""length"":12\,""segment"":""infinity g35""}"			https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef602f289a056bcd958140	000016521d--63eca4420dee0e72fb99bd93	000016521d--63ef602f289a056bcd958140	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:08:31.465
Кто хуже Дональд Трамп или Хиллари Клинтон?	"{""label"":""Object1""\,""offset"":9\,""length"":13\,""segment"":""Дональд Трамп""},{""label"":""Object2""\,""offset"":27\,""length"":15\,""segment"":""Хиллари Клинтон""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef602f289a056bcd958140	000016521d--63eca3e40dee0e72fb99ba3c	000016521d--63ef602f289a056bcd958140	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:08:31.465
Какой китайский ime лучше microsoft или Google?	"{""label"":""Aspect""\,""offset"":6\,""length"":13\,""segment"":""китайский ime""},{""label"":""Object1""\,""offset"":26\,""length"":9\,""segment"":""microsoft""},{""label"":""Object2""\,""offset"":40\,""length"":6\,""segment"":""Google""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef602f289a056bcd958140	000016521d--63eca4120dee0e72fb99bbd8	000016521d--63ef602f289a056bcd958140	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:08:31.465
Какое туристическое агентство подходит thomas cook или cox and kings для международных поездок с точки зрения бюджета и комфорта?	"{""label"":""Object1""\,""offset"":39\,""length"":11\,""segment"":""thomas cook""},{""label"":""Object2""\,""offset"":55\,""length"":13\,""segment"":""cox and kings""},{""label"":""Aspect""\,""offset"":73\,""length"":21\,""segment"":""международных поездок""},{""label"":""Aspect""\,""offset"":110\,""length"":7\,""segment"":""бюджета""},{""label"":""Aspect""\,""offset"":120\,""length"":8\,""segment"":""комфорта""}"				https://sandbox.toloka.yandex.com/task/1462813/000016521d--63ef602f289a056bcd958140	000016521d--63eca40e0dee0e72fb99bbb8	000016521d--63ef602f289a056bcd958140	3b3a0c5c761f50ae205a52aee0a3572e	APPROVED	2023-02-17T11:08:31.465
