nb_sent	word	tag
0	Должен	O
0	ли	O
0	я	O
0	использовать	O
0	vfat	Object1
0	или	O
0	ext3	Object2
0	для	O
0	внешнего	Aspect
0	жесткого	Aspect
0	диска	Aspect
0	USB	O
0	емкостью	O
0	1	O
0	ТБ	O
0	?	O
2	Кто	O
2	сыграл	O
2	больше	Aspect
2	матчей	Aspect
2	-	O
2	Роналду	Object1
2	или	O
2	Месси	Object2
2	?	O
3	Что	O
3	лучше	O
3	redmi	Object1
3	note	Object1
3	или	O
3	redmi	Object2
3	note	Object2
3	4g	Object2
3	почему	O
3	?	O
4	Что	O
4	лучше	O
4	,	O
4	Netflix	Object1
4	или	O
4	Blockbuster	Object2
4	?	O
6	Какой	O
6	из	O
6	них	O
6	лучше	O
6	bmw	Object1
6	или	O
6	infinity	Object2
6	g35	Object2
6	?	O
7	Кто	O
7	хуже	O
7	Дональд	Object1
7	Трамп	Object1
7	или	O
7	Хиллари	Object2
7	Клинтон	Object2
7	?	O
8	Какой	O
8	китайский	O
8	ime	O
8	лучше	O
8	microsoft	Object1
8	или	O
8	Google	Object2
8	?	O
9	Какое	O
9	туристическое	O
9	агентство	O
9	подходит	O
9	thomas	Object1
9	cook	Object1
9	или	O
9	cox	Object2
9	and	Object2
9	kings	Object2
9	для	O
9	международных	O
9	поездок	O
9	с	O
9	точки	O
9	зрения	O
9	бюджета	O
9	и	O
9	комфорта	Aspect
9	?	O
10	Что	O
10	полезнее	Aspect
10	носить	O
10	,	O
10	боксеры	Object1
10	или	O
10	трусы	Object2
10	?	O
11	Как	O
11	выбрать	O
11	между	O
11	отправкой	Aspect
11	статьи	Aspect
11	в	O
11	специализированный	Object1
11	журнал	Object1
11	или	O
11	в	O
11	журнал	Object2
11	с	Object2
11	более	Object2
11	широкой	Object2
11	аудиторией	Object2
11	?	O
12	Какой	O
12	из	O
12	них	O
12	лучше	O
12	-	O
12	iit	Object1
12	или	O
12	iisc	Object2
12	?	O
13	Как	O
13	вы	O
13	думаете	O
13	,	O
13	воображение	Object1
13	лучше	O
13	,	O
13	чем	O
13	знание	Object2
13	?	O
19	Действительно	O
19	ли	O
19	люди	Object1
19	лучше	O
19	животных	Object2
19	?	O
20	Насколько	O
20	трудно	Aspect
20	выучить	Aspect
20	русский	Object1
20	язык	CommonObj
20	по	O
20	сравнению	O
20	с	O
20	японским	Object2
20	?	O
21	Какой	O
21	телефон	CommonObj
21	лучше	O
21	-	O
21	с	Object1
21	одной	Object1
21	sim-картой	Object1
21	или	O
21	с	Object2
21	двумя	Object2
21	sim-картами	Object2
21	?	O
22	Что	O
22	старше	Aspect
22	-	O
22	jeopardy	Object1
22	или	O
22	колесо	Object2
22	фортуны	Object2
22	?	O
24	Что	O
24	лучше	O
24	evernote	Object1
24	или	O
24	Google	Object2
24	keep	Object2
24	?	O
25	С	O
25	объективной	O
25	точки	O
25	зрения	O
25	,	O
25	предполагающей	O
25	,	O
25	что	O
25	целью	O
25	является	O
25	максимальная	Aspect
25	жизненная	Aspect
25	полезность	Aspect
25	,	O
25	лучше	O
25	ли	O
25	родиться	O
25	мужчиной	Object1
25	или	O
25	женщиной	Object2
25	в	O
25	развитом	O
25	мире	O
25	?	O
26	Чем	O
26	intellij	Object1
26	лучше	O
26	eclipse	Object2
26	?	O
28	Кто	O
28	сексуальнее	Aspect
28	трейсер	Object1
28	или	O
28	вдоводел	Object2
28	?	O
29	Какой	O
29	велосипед	CommonObj
29	лучше	O
29	-	O
29	royal	Object1
29	enfield	Object1
29	classic	Object1
29	350	Object1
29	или	O
29	bullet	Object2
29	350	Object2
29	?	O
30	Какой	O
30	чемодан	CommonObj
30	мне	O
30	выбрать	O
30	-	O
30	жесткий	Object1
30	или	O
30	мягкий	Object2
30	?	O
31	Какой	O
31	лучше	O
31	core	Object1
31	i5	Object1
31	4440	Object1
31	или	O
31	core	Object2
31	i5	Object2
31	3470	Object2
31	?	O
32	Какой	O
32	из	O
32	них	O
32	лучше	O
32	samsung	Object1
32	galaxy	Object1
32	s7	Object1
32	edge	Object1
32	или	O
32	iphone	Object2
32	6s	Object2
32	?	O
33	Каковы	O
33	требования	O
33	инженеров-биомедицинцев	O
33	,	O
33	какой	O
33	поток	CommonObj
33	лучше	O
33	-	O
33	биомедицинский	Object1
33	или	O
33	биотехнологический	Object2
33	?	O
34	Что	O
34	лучше	O
34	пепси	Object1
34	или	O
34	кока-кола	Object2
34	?	O
35	Что	O
35	из	O
35	этого	O
35	лучше	O
35	-	O
35	информатика	Object1
35	или	O
35	компьютерная	Object2
35	инженерия	Object2
35	,	O
35	почему	O
35	?	O
36	Кто	O
36	с	O
36	большей	O
36	вероятностью	O
36	станет	O
36	причиной	Aspect
36	Третьей	Aspect
36	мировой	Aspect
36	войны	Aspect
36	-	O
36	Трамп	Object1
36	или	O
36	Клинтон	Object2
36	?	O
37	Что	O
37	лучше	O
37	для	O
37	сварки	Aspect
37	mig	Object1
37	или	O
37	tig	Object2
37	?	O
39	Какой	O
39	сервер	CommonObj
39	лучше	O
39	ubersvn	Object1
39	против	O
39	visualsvn	Object2
39	,	O
39	есть	O
39	какие-нибудь	O
39	впечатления	O
39	?	O
40	Стоит	O
40	ли	O
40	покупать	O
40	стальные	Object1
40	или	O
40	керамические	Object2
40	ножи	CommonObj
40	?	O
41	Какое	O
41	из	O
41	них	O
41	лучше	O
41	xm	Object1
41	radio	Object1
41	или	O
41	sirus	Object2
41	radio	Object2
41	?	O
42	Действительно	O
42	ли	O
42	собаки	Object1
42	лучше	O
42	людей	Object2
42	?	O
43	Какая	O
43	лампочка	CommonObj
43	лучше	O
43	,	O
43	накаливания	Object1
43	или	O
43	люминесцентная	Object2
43	?	O
44	Должен	O
44	ли	O
44	я	O
44	поступить	O
44	в	O
44	колумбийский	Object1
44	университет	Object1
44	или	O
44	Дартмут	Object2
44	?	O
45	На	O
45	кантонском	Object1
45	или	O
45	мандаринском	Object2
45	диалекте	CommonObj
45	чаще	O
45	говорят	O
45	за	Aspect
45	пределами	Aspect
45	Китая	Aspect
45	?	O
47	Что	O
47	лучше	O
47	для	O
47	игр	Aspect
47	-	O
47	mac	Object1
47	или	O
47	Windows	Object2
47	?	O
48	Что	O
48	лучше	O
48	-	O
48	популярная	Object1
48	проприетарная	Object1
48	программа	Object1
48	или	O
48	малоизвестная	CommonObj
48	замена	Object2
48	воспроизводимого	Object2
48	исследования	Object2
48	с	Object2
48	открытым	Object2
48	исходным	Object2
48	кодом	Object2
48	?	O
49	Творческая	O
49	франшиза	O
49	Гарри	O
49	Поттера	O
49	,	O
49	кто	O
49	более	O
49	могущественный	Aspect
49	волшебник	Aspect
49	,	O
49	Дамблдор	Object1
49	или	O
49	Волдеморт	Object2
49	,	O
49	почему	O
49	?	O
52	В	O
52	чем	O
52	разница	O
52	в	O
52	производительности	Aspect
52	микроядра	Object1
52	по	O
52	сравнению	O
52	с	O
52	монолитным	Object2
52	ядром	Object2
52	?	O
53	Лучше	O
53	ли	O
53	путешествовать	O
53	поездом	Object1
53	или	O
53	самолетом	Object2
53	,	O
53	когда	O
53	на	O
53	востоке	O
53	США	O
53	есть	O
53	риск	Aspect
53	выпадения	Aspect
53	снега	Aspect
53	?	O
54	Какой	O
54	велосипед	CommonObj
54	лучше	O
54	для	O
54	поездок	O
54	на	O
54	работу	O
54	,	O
54	а	O
54	также	O
54	для	O
54	случайных	Aspect
54	длительных	Aspect
54	поездок	Aspect
54	по	Aspect
54	улице	Aspect
54	220	Object1
54	или	O
54	royal	Object2
54	enfield	Object2
54	?	O
55	Чем	O
55	Хиллари	Object1
55	Клинтон	Object1
55	лучше	O
55	Дональда	Object2
55	Трампа	Object2
55	?	O
57	По	O
57	состоянию	O
57	на	O
57	март	O
57	2014	O
57	года	O
57	,	O
57	какая	O
57	игровая	O
57	консоль	O
57	лучше	O
57	на	O
57	рынке	O
57	-	O
57	sony	Object1
57	ps4	Object1
57	или	O
57	microsoft	Object2
57	xbox	Object2
57	one	Object2
57	?	O
58	Кто	O
58	величайший	Aspect
58	французский	O
58	классический	CommonObj
58	трагик	CommonObj
58	Расин	Object1
58	или	O
58	Корнель	Object2
58	?	O
59	Что	O
59	лучше	O
59	,	O
59	светодиодные	Object1
59	или	O
59	ЖК-дисплеи	O
59	?	O
60	Какое	O
60	упражнение	CommonObj
60	лучше	O
60	с	Object1
60	большим	Object1
60	весом	Object1
60	и	Object1
60	меньшим	Object1
60	количеством	Object1
60	повторений	Object1
60	или	O
60	с	Object2
60	меньшим	Object2
60	весом	Object2
60	и	Object2
60	большим	Object2
60	количеством	Object2
60	повторений	Object2
60	,	O
60	как	O
60	эти	O
60	два	O
60	упражнения	O
60	повлияют	O
60	на	O
60	рост	Aspect
60	мышц	Aspect
60	?	O
61	Девушки	Object1
61	или	O
61	парни-вегетарианцы	O
61	встречаются	O
61	чаще	Aspect
61	?	O
62	Должен	O
62	ли	O
62	я	O
62	купить	O
62	новый	O
62	macbook	Object1
62	pro	Object1
62	2016	Object1
62	или	O
62	macbook	Object2
62	pro	Object2
62	2015	Object2
62	?	O
63	Что	O
63	лучше	O
63	holiday	Object1
63	inn	Object1
63	или	O
63	white	Object2
63	christmas	Object2
63	?	O
